,nama_produk,harga_produk
0,BLACKMORES BIO ACE EXCELL (30),210000
1,Blackmores Bio Ace Excell (80),485000
2,Blackmores Bio C 1000mg (150),475000
3,Blackmores Bio C 1000mg (30),120000
4,Blackmores Calcimag Multi (60),150000
5,Blackmores Celery 7000 (120),525000
6,BLACKMORES CELERY 7000 (30),155000
7,Blackmores Coq10 75mg (30),195000
8,Blackmores Echinacea Multi (60),285000
9,Blackmores Evening Primrose Oil + Fish Oil (100),375000
10,Blackmores Executive B (30),155000
11,Blackmores Executive B (62),290000
12,Blackmores Fish Oil 1000 (200),295000
13,Blackmores Flaxseed Oil 1000mg (100),295000
14,Blackmores Ginkgo Action Forte Tabs (40),170000
15,Blackmores Glucosamine Sulfate 1500mg (30),150000
16,Blackmores Glucosamine Sulfate 1500mg (90),400000
17,Blackmores Grape Seed 12000 (30),225000
18,Blackmores i-Folic (150),195000
19,Blackmores Lutein Vision (60),485000
20,Blackmores Milk Thistle (42),190000
21,Blackmores Multivitamins + Minerals (120),460000
22,Blackmores Multivitamins + Minerals (30),125000
23,Blackmores Natural E 250 iu (50),170000
24,Blackmores Odourless Fish Oil 1000 (200),335000
25,Blackmores Odourless Fish Oil 1000 (30),70000
26,Blackmores Odourless Fish Oil 1000 (400),535000
27,Blackmores Odourless Garlic (200),215000
28,Blackmores Omega Daily (90),370000
29,Blackmores Pregnancy  Breast Feeding Gold (120),410000
30,Blackmores Pregnancy  Breast Feeding Gold (60),220000
31,Blackmores Pregnancy  Breastfeeding Gold (180),595000
32,Blackmores Propolis 1000 (220),380000
33,Blackmores Radiance Marine Q10 (30),445000
34,Blackmores Ultimate Omega (150),575000
35,Blackmores Vitamin C 500mg (60),125000
